id,xP
1,6.0
2,0.0
3,0.0
4,5.0
5,0.2
6,0.0
7,1.8
8,5.8
9,0.4
10,4.2
11,2.4
12,6.4
13,4.0
14,0.8
15,5.8
16,0.4
17,0.8
18,0.0
19,1.0
20,0.2
22,0.0
23,0.0
24,0.0
25,0.4
26,3.8
27,0.0
31,2.4
452,1.8
557,3.2
29,0.0
30,0.0
32,1.2
33,2.0
34,0.0
35,0.2
36,0.0
37,1.6
38,0.0
39,0.0
41,4.2
44,0.0
45,3.4
46,2.0
47,3.0
48,0.0
49,0.0
50,0.0
51,1.8
52,1.6
53,2.8
54,0.4
55,0.0
56,0.8
160,0.6
166,2.0
582,0.0
596,1.0
597,3.2
606,0.0
607,0.0
611,1.5
618,0.0
630,0.0
631,0.7
57,1.4
58,0.0
59,0.0
60,1.6
61,1.6
62,0.0
63,0.0
64,0.4
65,0.0
66,0.0
67,1.6
68,5.8
69,5.6
70,3.0
71,1.4
72,0.6
73,1.6
74,0.4
75,0.6
76,0.2
77,0.0
78,0.0
79,3.2
80,0.0
81,0.4
566,2.0
573,0.0
608,0.4
615,0.0
82,4.0
83,0.0
84,0.0
85,0.0
86,4.4
87,4.2
88,4.6
89,0.2
90,1.0
92,0.0
93,4.2
94,7.8
95,1.4
96,3.2
97,0.0
98,5.6
99,0.0
100,1.2
102,1.8
103,0.0
105,3.0
106,2.0
107,0.0
108,0.6
565,4.4
620,0.5
657,0.0
660,1.1
661,1.0
109,4.6
111,0.0
113,2.6
114,3.8
115,7.4
116,4.4
117,0.0
118,0.0
119,0.8
120,0.2
121,0.0
122,0.0
123,0.0
124,9.4
125,1.2
126,0.4
127,4.8
128,0.0
129,3.0
130,0.0
132,0.0
133,0.0
134,0.0
135,0.0
137,0.0
138,5.6
139,0.0
328,1.4
504,6.4
594,0.2
600,0.6
605,4.0
614,0.0
624,0.0
639,4.3
652,0.0
658,0.0
28,1.8
40,5.8
101,0.2
136,0.8
140,0.0
141,0.0
142,0.4
143,0.0
144,0.8
145,1.6
146,0.0
148,1.6
149,0.6
150,0.0
151,1.0
152,0.0
154,5.6
156,2.8
157,0.8
158,0.0
159,0.1
161,2.2
163,0.0
164,0.4
165,4.9
168,0.0
169,0.0
170,0.0
200,2.6
560,0.0
561,0.0
568,0.6
583,1.0
662,1.1
91,1.2
104,1.2
110,1.0
171,0.0
172,0.0
173,3.0
174,0.0
175,1.2
176,1.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.2
183,1.6
184,1.6
185,0.2
186,0.8
187,0.0
188,0.6
189,0.0
190,0.8
191,0.0
192,0.0
193,0.0
194,1.0
195,0.6
196,0.0
197,0.0
492,0.0
575,1.2
584,0.6
599,0.2
623,0.0
655,0.0
656,0.0
42,0.4
153,0.0
198,0.0
199,0.4
202,1.2
203,0.4
204,3.4
205,0.0
206,0.0
207,0.4
208,0.0
210,2.0
211,2.4
212,0.4
213,0.2
214,3.6
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,2.4
223,0.0
224,1.4
225,0.0
241,0.6
555,0.0
577,0.4
588,2.6
595,0.4
633,1.0
643,2.7
