name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Sean Neave,FWD,Newcastle,0.0,0,0,0,0,0,0.0,0,466,0.00,0.00,0.00,0.00,15,0,0,0.0,0.0,2026-08-29T16:30:00Z,0,False,19,0,0,0,0,0,2,0,75688,0,0,2,0,0.0,0,-1647,6478,8125,45,False,0
Ismaïla Sarr,MID,Crystal Palace,0.0,0,0,0,0,0,0.0,0,208,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2026-08-28T19:00:00Z,0,False,15,0,0,0,0,0,2,0,227391,0,0,4,1,0.0,0,-204476,2102,206578,64,True,0
Martín Zubimendi Ibáñez,MID,Arsenal,1.0,0,0,5,0,0,0.9,2,19,0.00,0.00,0.00,0.00,20,0,0,0.6,4.8,2026-08-31T19:00:00Z,5,False,2,0,0,0,0,0,2,0,94430,0,2,1,0,0.0,1,-19013,1579,20592,55,False,0
Tyrique George,MID,Everton,3.8,0,0,12,0,0,12.2,2,242,0.01,0.06,0.05,0.58,12,1,0,3.4,6.0,2026-08-29T14:00:00Z,61,False,3,0,0,0,1,0,2,0,28043,1,1,1,1,16.0,2,-209,2273,2482,55,False,0
Xaver Schlager,MID,Nott'm Forest,2.2,0,0,15,0,3,0.7,15,558,0.00,0.05,0.05,1.75,14,2,0,2.9,21.2,2026-08-29T11:30:00Z,90,False,14,0,0,0,7,0,2,0,9781,1,5,2,2,7.0,4,-986,158,1144,50,False,0
Matt O'Riley,MID,Brighton,0.4,0,0,0,0,0,0.0,0,126,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2026-08-30T13:00:00Z,0,False,6,0,0,0,0,0,2,0,10143,0,0,3,4,0.0,0,-696,656,1352,55,False,0
Jamie Bynoe-Gittens,MID,Chelsea,0.0,0,0,0,0,0,0.0,0,158,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2026-08-30T13:00:00Z,0,False,5,0,0,0,0,0,2,0,3391,0,0,3,4,0.0,0,-502,271,773,60,True,0
António João Pereira de Albuquerque Tavares da Silva,DEF,Bournemouth,2.0,0,0,11,0,8,1.8,10,566,0.03,0.28,0.25,1.84,12,1,0,3.3,18.6,2026-08-29T14:00:00Z,90,False,9,0,0,0,4,0,2,0,36812,1,2,1,1,13.0,4,5175,7365,2190,50,True,0
Kai Andrews,MID,Coventry City,0.0,0,0,0,0,0,0.0,0,192,0.00,0.00,0.00,0.00,13,0,0,0.0,0.0,2026-08-29T14:00:00Z,0,False,11,0,0,0,0,0,2,0,62913,0,0,1,0,0.0,0,-4618,2576,7194,45,True,0
Matheus Nunes,DEF,Man City,2.0,0,0,0,0,0,0.0,0,389,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2026-08-28T19:00:00Z,0,False,8,0,0,0,0,0,2,0,142089,0,0,4,1,0.0,0,-14462,3031,17493,60,False,0
Jair Paula da Cunha Filho,DEF,Nott'm Forest,1.5,0,0,6,0,6,0.4,8,474,0.00,0.00,0.00,1.75,14,2,0,1.5,14.6,2026-08-29T11:30:00Z,90,False,14,0,0,0,3,0,2,0,21029,1,2,2,2,0.0,1,-1300,259,1559,45,False,0
