name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Sean Neave,FWD,Newcastle,0.0,0,0,0,0,0,0.0,0,466,0.00,0.00,0.00,0.00,46,0,0,0.0,0.0,2026-09-19T14:00:00Z,0,False,11,0,0,0,0,0,5,0,58232,0,0,1,2,0.0,0,-9244,0,9244,45,True,0
Ismaïla Sarr,MID,Crystal Palace,0.2,0,0,3,0,0,0.0,0,208,0.01,0.01,0.00,0.06,44,0,0,0.0,0.0,2026-09-20T13:00:00Z,8,False,13,0,0,0,0,0,5,0,67923,0,0,0,0,0.0,1,-10945,1443,12388,62,False,0
Martín Zubimendi Ibáñez,MID,Arsenal,1.0,0,0,2,0,1,0.0,1,19,0.00,0.13,0.13,0.70,42,0,0,0.0,0.0,2026-09-19T14:00:00Z,30,False,5,0,0,0,0,0,5,0,64585,0,0,0,3,0.0,1,-7918,1444,9362,53,False,0
Tyrique George,MID,Everton,3.8,0,0,4,0,0,0.0,2,242,0.01,0.04,0.03,0.38,43,0,0,0.0,0.0,2026-09-19T14:00:00Z,11,False,12,0,0,0,2,0,5,0,111866,0,0,0,1,0.0,1,39603,50560,10957,55,True,0
Xaver Schlager,MID,Nott'm Forest,2.6,0,0,16,0,2,0.0,7,558,0.10,0.15,0.05,0.67,47,1,0,0.0,0.0,2026-09-19T16:30:00Z,90,False,7,0,0,0,3,0,5,0,12605,1,2,1,0,0.0,2,1774,3063,1289,50,True,0
Matt O'Riley,MID,Brighton,0.4,0,0,2,0,2,0.0,2,126,0.00,0.28,0.28,0.14,42,0,0,0.0,0.0,2026-09-19T14:00:00Z,4,False,1,0,0,0,0,0,5,0,10353,0,0,0,3,0.0,1,-662,577,1239,54,True,0
Jamie Bynoe-Gittens,MID,Chelsea,0.0,0,0,0,0,0,0.0,0,158,0.00,0.00,0.00,0.00,41,0,0,0.0,0.0,2026-09-18T19:00:00Z,0,False,4,0,0,0,0,0,5,0,2922,0,0,0,3,0.0,0,-209,198,407,59,False,0
António João Pereira de Albuquerque Tavares da Silva,DEF,Bournemouth,2.6,0,0,8,0,13,0.0,15,566,0.02,0.02,0.00,1.65,49,1,0,0.0,0.0,2026-09-20T13:00:00Z,90,False,14,0,0,0,2,0,5,0,40509,1,2,1,0,0.0,3,-3903,2672,6575,50,True,1
Kai Andrews,MID,Coventry City,0.0,0,0,0,0,0,0.0,0,192,0.00,0.00,0.00,0.00,47,0,0,0.0,0.0,2026-09-19T16:30:00Z,0,False,18,0,0,0,0,0,5,0,31304,0,0,1,0,0.0,0,-5803,0,5803,45,False,0
Matheus Nunes,DEF,Man City,2.2,0,0,0,0,8,0.0,9,389,0.01,0.01,0.00,3.57,45,3,0,0.0,0.0,2026-09-20T13:00:00Z,90,False,20,0,0,0,0,0,5,0,107181,1,1,3,5,0.0,1,3022,7244,4222,59,True,0
Jair Paula da Cunha Filho,DEF,Nott'm Forest,1.7,0,0,5,0,6,0.0,8,474,0.01,0.03,0.02,0.67,47,1,0,0.0,0.0,2026-09-19T16:30:00Z,90,False,7,0,0,0,3,0,5,0,19913,1,2,1,0,0.0,1,-4535,225,4760,45,True,1
Rúben dos Santos Gato Alves Dias,DEF,Man City,3.4,0,0,-7,0,4,0.0,4,390,0.00,0.20,0.20,3.57,45,3,0,0.0,0.0,2026-09-20T13:00:00Z,90,False,20,0,0,0,0,0,5,0,208870,1,0,3,5,0.0,1,10534,21282,10748,55,True,0
Miodrag Pivas,DEF,Newcastle,1.1,0,0,0,0,0,0.0,0,663,0.00,0.00,0.00,0.00,46,0,0,0.0,0.0,2026-09-19T14:00:00Z,0,False,11,0,0,0,0,0,5,0,0,0,0,1,2,0.0,0,0,0,0,40,True,0
Tyler Fredricson,DEF,Man Utd,0.0,0,0,0,0,0,0.0,0,425,0.00,0.00,0.00,0.00,50,0,0,0.0,0.0,2026-09-20T15:30:00Z,0,False,10,0,0,0,0,0,5,0,1329,0,0,1,1,0.0,0,-107,0,107,40,False,0
Luke Shaw,DEF,Man Utd,0.9,0,0,7,0,3,0.0,3,423,0.07,0.08,0.01,1.62,50,1,0,0.0,0.0,2026-09-20T15:30:00Z,83,False,10,0,0,0,1,0,5,0,879239,1,0,1,1,0.0,2,-360683,2227,362910,44,False,0
