name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Sean Neave,FWD,Newcastle,0.0,0,0,0,0,0,0.0,0,466,0.00,0.00,0.00,0.00,40,0,0,0.0,0.0,2026-09-14T19:00:00Z,0,False,13,0,0,0,0,0,4,0,66182,0,0,1,4,0.0,0,-17854,0,17854,45,False,0
Ismaïla Sarr,MID,Crystal Palace,0.0,0,0,0,0,0,0.0,0,208,0.00,0.00,0.00,0.00,34,0,0,0.0,0.0,2026-09-12T14:00:00Z,0,False,12,0,0,0,0,0,4,0,77747,0,0,3,2,0.0,0,-36877,179,37056,63,True,0
Martín Zubimendi Ibáñez,MID,Arsenal,1.0,0,0,5,0,0,0.2,2,19,0.00,0.00,0.00,0.40,36,0,0,0.4,3.4,2026-09-12T19:00:00Z,9,False,20,0,0,0,1,0,4,0,71283,0,1,2,0,0.0,1,-11465,1507,12972,54,False,0
Tyrique George,MID,Everton,3.8,0,0,13,1,1,15.4,3,242,0.15,0.20,0.05,0.39,37,0,0,2.7,6.4,2026-09-12T16:30:00Z,64,False,19,0,0,0,2,0,4,0,67366,1,0,0,0,5.0,3,36647,50072,13425,55,False,0
Xaver Schlager,MID,Nott'm Forest,2.2,0,0,18,0,3,15.2,16,558,0.02,0.08,0.06,0.82,31,1,0,5.4,21.8,2026-09-12T14:00:00Z,90,False,2,0,0,0,7,0,4,0,10277,1,6,2,1,17.0,3,-224,1040,1264,50,False,1
Matt O'Riley,MID,Brighton,0.4,0,0,4,0,0,10.5,1,126,0.01,0.01,0.00,0.04,38,0,0,1.3,2.2,2026-09-13T13:00:00Z,6,False,7,0,0,0,1,0,4,0,10605,0,0,5,0,0.0,1,-515,901,1416,55,False,0
Jamie Bynoe-Gittens,MID,Chelsea,0.0,0,0,0,0,0,0.0,0,158,0.00,0.00,0.00,0.00,33,0,0,0.0,0.0,2026-09-12T14:00:00Z,0,False,11,0,0,0,0,0,4,0,2962,0,0,2,2,0.0,0,-225,250,475,59,True,0
António João Pereira de Albuquerque Tavares da Silva,DEF,Bournemouth,2.0,0,0,-2,0,10,5.3,10,566,0.23,0.81,0.58,0.50,32,2,0,3.4,18.0,2026-09-12T14:00:00Z,90,False,4,0,0,0,5,0,4,0,44292,1,0,2,2,11.0,3,-299,5703,6002,50,True,0
Kai Andrews,MID,Coventry City,0.0,0,0,0,0,0,0.0,0,192,0.00,0.00,0.00,0.00,38,0,0,0.0,0.0,2026-09-13T13:00:00Z,0,False,5,0,0,0,0,0,4,0,36602,0,0,5,0,0.0,0,-8343,0,8343,45,True,0
Matheus Nunes,DEF,Man City,2.0,0,1,34,1,9,1.5,11,389,0.01,0.01,0.00,1.00,39,0,0,3.3,31.2,2026-09-13T15:30:00Z,90,False,16,0,0,0,8,0,4,0,99893,1,2,1,0,0.0,9,-8606,2401,11007,59,False,0
Jair Paula da Cunha Filho,DEF,Nott'm Forest,1.5,0,0,0,0,0,0.0,0,474,0.00,0.00,0.00,0.00,31,0,0,0.0,0.0,2026-09-12T14:00:00Z,0,False,2,0,0,0,0,0,4,0,24942,0,0,2,1,0.0,0,3885,8098,4213,45,False,0
Rúben dos Santos Gato Alves Dias,DEF,Man City,3.2,0,0,24,1,7,0.2,7,390,0.00,0.00,0.00,1.00,39,0,0,2.0,17.4,2026-09-13T15:30:00Z,90,False,16,0,0,0,2,0,4,0,188216,1,0,1,0,2.0,6,-6512,11031,17543,55,False,0
Tyler Fredricson,DEF,Man Utd,0.0,0,0,0,0,0,0.0,0,425,0.00,0.00,0.00,0.00,39,0,0,0.0,0.0,2026-09-13T15:30:00Z,0,False,15,0,0,0,0,0,4,0,1428,0,0,1,0,0.0,0,-152,0,152,40,True,0
Luke Shaw,DEF,Man Utd,0.7,0,0,0,0,0,0.0,0,423,0.00,0.00,0.00,0.00,39,0,0,0.0,0.0,2026-09-13T15:30:00Z,0,False,15,0,0,0,0,0,4,0,1210238,0,0,1,0,0.0,0,-396169,21871,418040,44,True,0
Romaine Mundle,MID,Sunderland,0.0,0,0,0,0,0,0.0,0,547,0.00,0.00,0.00,0.00,36,0,0,0.0,0.0,2026-09-12T19:00:00Z,0,False,1,0,0,0,0,0,4,0,691,0,0,2,0,0.0,0,-146,53,199,49,True,0
Senne Lammens,GK,Man Utd,1.4,0,0,5,0,1,0.0,0,412,0.00,0.00,0.00,1.10,39,1,0,0.7,6.6,2026-09-13T15:30:00Z,90,False,15,0,0,0,5,0,4,1,1178768,1,0,1,0,0.0,2,-227696,11379,239075,50,True,0
Ilia Gruev,MID,Leeds,0.0,0,0,0,0,0,0.0,0,344,0.00,0.00,0.00,0.00,40,0,0,0.0,0.0,2026-09-14T19:00:00Z,0,False,17,0,0,0,0,0,4,0,317,0,0,1,4,0.0,0,-45,13,58,50,True,0
Giorgi Mamardashvili,GK,Liverpool,0.0,0,0,0,0,0,0.0,0,351,0.00,0.00,0.00,0.00,35,0,0,0.0,0.0,2026-09-12T14:00:00Z,0,False,10,0,0,0,0,0,4,0,13938,0,0,0,0,0.0,0,-1342,513,1855,49,True,0
Antonín Kinský,GK,Spurs,3.6,0,0,29,1,4,0.0,0,496,0.00,0.00,0.00,1.11,37,0,0,2.0,19.8,2026-09-12T16:30:00Z,90,False,9,0,0,0,3,0,4,3,1930350,1,0,0,0,0.0,7,-84513,146399,230912,45,True,0
Vitaly Janelt,MID,Brentford,5.6,0,0,20,0,11,14.4,20,98,0.08,0.08,0.00,1.75,32,2,0,4.3,28.4,2026-09-12T14:00:00Z,90,False,3,0,0,0,6,0,4,0,266936,1,3,2,2,0.0,4,139007,176461,37454,50,False,0
Cristian Romero,DEF,Spurs,0.0,0,0,0,0,0,0.0,0,500,0.00,0.00,0.00,0.00,37,0,0,0.0,0.0,2026-09-12T16:30:00Z,0,False,9,0,0,0,0,0,4,0,10093,0,0,0,0,0.0,0,-1362,0,1362,50,True,0
Caoimhín Kelleher,GK,Brentford,4.0,0,0,19,0,1,0.0,0,82,0.00,0.00,0.00,1.75,32,2,0,4.4,44.0,2026-09-12T14:00:00Z,90,False,3,0,0,0,11,0,4,8,702931,1,0,2,2,0.0,3,-23973,34374,58347,50,False,0
Guglielmo Vicario,GK,Spurs,0.0,0,0,0,0,0,0.0,0,494,0.00,0.00,0.00,0.00,37,0,0,0.0,0.0,2026-09-12T16:30:00Z,0,False,9,0,0,0,0,0,4,0,16026,0,0,0,0,0.0,0,-2498,0,2498,45,True,0
